filename,combination,dry,normal,oily
dry_new_4d600361fc6b4043ee37_jpg.rf.8f971b2793ad3a77841bb62050fc3a7a.jpg,0,1,0,0
normal_2bfdf2ba6623e6b84b3f_jpg.rf.9dcab73d4cbe3ac01080bd6141989340.jpg,0,0,1,0
dry_new_56b817b616e9e0e179f9_jpg.rf.9818dac4c3cb17e3f033746ab7713fa2.jpg,0,1,0,0
normal_2672a278d6024a493f58_jpg.rf.d8ad0e4edd61516d05557218855d2c02.jpg,0,0,1,0
normal_28020fc04b58d40fc25d_jpg.rf.49d715b7bcef6796f1e3655268bdc9bf.jpg,0,0,1,0
dry_new_56b817b616e9e0e179f9_jpg.rf.5ea77e9e17cb3c85cfff53bd0838cc40.jpg,0,1,0,0
normal_23d1534195cf6539f851_jpg.rf.559c4b91c86e7c166900d9e88679fee4.jpg,0,0,1,0
normal_2a654e6820c321c2cd61_jpg.rf.3b0937d90899eee837470ead953906aa.jpg,0,0,1,0
dry_new_1cc095c17f548c684fd5_jpg.rf.5eb22668795ec118509088013558f6ff.jpg,0,1,0,0
oily_new_8583892784bd31e334a9_jpg.rf.3ccbaf90fa899b57544077468b4d9085.jpg,0,0,0,1
normal_249e458701fb4c3936bc_jpg.rf.5a90fa3fe24eb49ecd34be4891eedfdd.jpg,0,0,1,0
dry_new_0928117f81f9ad7f1729_jpg.rf.57f134d722e0fd5372bf7d2b5d778b33.jpg,0,1,0,0
combination_-_350827045f0a47b4bc91_jpg.rf.1c3a63cc0f8dd80ee2796416c30af3c0.jpg,1,0,0,0
dry_new_1e1b5d89c9b952141f90_jpg.rf.ab8b8496b6ca636360f7c696551ed026.jpg,0,1,0,0
normal_23d1534195cf6539f851_jpg.rf.12f64f29c3c742730287b6bd1e90e24f.jpg,0,0,1,0
normal_24e4275a25e74af172e4_jpg.rf.3d544857359489609f85801f543a8d93.jpg,0,0,1,0
dry_new_574e3e6dac8576d1d32c_jpg.rf.5786ebb8b9393df841cdcee6a5d700f8.jpg,0,1,0,0
normal_2a654e6820c321c2cd61_jpg.rf.50701e99ad0d2c5b0831d4baa1f508e3.jpg,0,0,1,0
dry_new_092a1801a7a5870e5da4_jpg.rf.71264a1bc56ddd73a776c687d6b8e7d0.jpg,0,1,0,0
normal_365bd9d74f42a34aa3a9_jpg.rf.97c27867ba965340fd32312f07083b4e.jpg,0,0,1,0
dry_new_084bfd1d656478c74f80_jpg.rf.110a81e793b954e1f61dc9aee3c936dc.jpg,0,1,0,0
dry_new_0ab694d416229a8629a5_jpg.rf.89fec98973301948f7ad117ab1db20d5.jpg,0,1,0,0
oily_new_a0c506d4a0a7a062fee5_jpg.rf.48b0bfa17949376e41c734a06744ecb6.jpg,0,0,0,1
dry_new_529b3f854c89f5151489_jpg.rf.d1fc2a050f5986005fe207f618999753.jpg,0,1,0,0
normal_300b68ce0aa2c9cf3fcc_jpg.rf.bcc77a2e7f9fd08cdf8ff67353907d6d.jpg,0,0,1,0
oily_new_a23ac9301be425829179_jpg.rf.0ef84e99553b677cba373269d515beb0.jpg,0,0,0,1
oily_new_a1b074d0b9fce9cd6059_jpg.rf.4d1e8db7aeda3876bb91b5fd462cf3cb.jpg,0,0,0,1
dry_new_529b3f854c89f5151489_jpg.rf.27d66dfe7683e80c670ef63dfe5bd6ba.jpg,0,1,0,0
combination_-_63d269052e3644f27476_jpg.rf.cbc550f9ce7e690aee97acd7d8a7affe.jpg,1,0,0,0
combination_-_334758dd9424c8a99caf_jpg.rf.9d5615b7c8b7b1948a7b330c6dc2f73a.jpg,1,0,0,0
normal_0d2f873460fb55f43725_jpg.rf.8bc2ebcd736cb260d0123320606cd94c.jpg,0,0,1,0
dry_new_0928117f81f9ad7f1729_jpg.rf.c58211193875d3c53d6877647c539af9.jpg,0,1,0,0
normal_2c92ed4def81458a2a01_jpg.rf.68be206197edba9acbc807067f12c68b.jpg,0,0,1,0
combination_-_92eeb5683dc19a23e4f2_jpg.rf.ce9b960ba83fed640423dcbe2697f834.jpg,1,0,0,0
normal_365bd9d74f42a34aa3a9_jpg.rf.18917d3245f91dd961cbcb19dee867ca.jpg,0,0,1,0
combination_-_f0ff989a4be6389bd61b_jpg.rf.1351fd416ee90d4c7b920cdaeba3eb03.jpg,1,0,0,0
normal_0b71ab4726e465b07b5f_jpg.rf.7eeb80e412c1c2adbf69176e23541744.jpg,0,0,1,0
combination_-_ee218d670d672b22efc5_jpg.rf.c9ef4ef5a9f7f5daf22a1d3106009cc4.jpg,1,0,0,0
combination_-_ee218d670d672b22efc5_jpg.rf.e2bf82815464315d9435805702214b26.jpg,1,0,0,0
normal_139ee79583410327f0d9_jpg.rf.b98c5f028437d335ad185d388550e62f.jpg,0,0,1,0
normal_26f90eea16c33625ce21_jpg.rf.a2e7ec4b44ecb42e88a3943c9ed19d4c.jpg,0,0,1,0
normal_2c92ed4def81458a2a01_jpg.rf.872e6d81a644715e1d7df06eca3c4f15.jpg,0,0,1,0
oily_new_8756b580e9cb7d181e84_jpg.rf.77cad2eedbdcd3121f9ef4ce118711ab.jpg,0,0,0,1
dry_new_0b973f46a06123d014f1_jpg.rf.7e890c9d3ad3a1fea779397fa9082e23.jpg,0,1,0,0
normal_36a4bfd6cec42fa48752_jpg.rf.4d2936d06b48ff6c7e0ab89dd303297f.jpg,0,0,1,0
normal_2c92ed4def81458a2a01_jpg.rf.ee11c37b48e44e6c6a3d1b9a9bd7653f.jpg,0,0,1,0
combination_-_f0ff989a4be6389bd61b_jpg.rf.1acf114f7f0029336ec6e8fb81932d7e.jpg,1,0,0,0
dry_new_1b59e700032bde4a94f5_jpg.rf.fc62bb2c5668a61ca1a31af75ce32f3f.jpg,0,1,0,0
combination_-_6d9cac9a7300fcbfdf9f_jpg.rf.3875c69d3e5ca47e4a60d59f6e0dabc8.jpg,1,0,0,0
normal_25ddbf87b35ca454a2d3_jpg.rf.91d35dac7f615fc8487e82e6347788b8.jpg,0,0,1,0
combination_-_ecd292ff8ee2c17e399d_jpg.rf.8dcabf9a7be66b1177de68afd066e7f2.jpg,1,0,0,0
combination_-_350827045f0a47b4bc91_jpg.rf.d2ab6417324616745c6c09a1cbbebef2.jpg,1,0,0,0
oily_new_a04f2c5dcd09745ba83c_jpg.rf.a52baa1082a4be965fc7c1f5b2910b83.jpg,0,0,0,1
